id,question,answer,category,type,difficulty,source_line,tags
33,""" [Flexor pollicis longus] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Flexor pollicis longus - "" Muscle Test - Final Position Examiner holds proximal phalanx with the index and thumb of one hand and forces distal phalanx of the thumb into extension with the other hand. Patient flexes 1st distal phalanx Trunks: Middle & Lower Divisions: Anterior Cords: Lateral & Medial (conflict) """,Muscle Anatomy,Cloze,Easy,43,muscle_anatomy;easy
34,""" [Ant. interosseous of median nerve.] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Ant. interosseous of median nerve. - "" Muscle Test - Final Position Examiner holds proximal phalanx with the index and thumb of one hand and forces distal phalanx of the thumb into extension with the other hand. Patient flexes 1st distal phalanx Trunks: Middle & Lower Divisions: Anterior Cords: Lateral & Medial (conflict) """,Muscle Anatomy,Cloze,Easy,43,muscle_anatomy;easy
35,""" [C8 , T1::2] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","C8 , T1::2 - "" Muscle Test - Final Position Examiner holds proximal phalanx with the index and thumb of one hand and forces distal phalanx of the thumb into extension with the other hand. Patient flexes 1st distal phalanx Trunks: Middle & Lower Divisions: Anterior Cords: Lateral & Medial (conflict) """,Muscle Anatomy,Cloze,Easy,43,muscle_anatomy;easy
36,""" Abductor pollicis brevis Nerve: [Median nerve] Roots: [BLANK] "" - What goes in the blank?","Median nerve - "" Trunks: Lower Divisions: Anterior Cords: Medial """,Muscle Anatomy,Cloze,Easy,44,muscle_anatomy;easy
37,""" Abductor pollicis brevis Nerve: [C8 , T1 ::2] Roots: [BLANK] "" - What goes in the blank?","C8 , T1 ::2 - "" Trunks: Lower Divisions: Anterior Cords: Medial """,Muscle Anatomy,Cloze,Easy,44,muscle_anatomy;easy
38,""" Opponens pollicis Nerve: [Median nerve] Roots: [BLANK] "" - What goes in the blank?","Median nerve - "" Trunks: Lower Divisions: Anterior Cords: Medial """,Muscle Anatomy,Cloze,Easy,45,muscle_anatomy;easy
39,""" Opponens pollicis Nerve: [C8 , T1 ::2] Roots: [BLANK] "" - What goes in the blank?","C8 , T1 ::2 - "" Trunks: Lower Divisions: Anterior Cords: Medial """,Muscle Anatomy,Cloze,Easy,45,muscle_anatomy;easy
40,""" [Adductor pollicis] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Adductor pollicis - "" Trunks: Lower Divisions: Anterior Cords: Medial """,Muscle Anatomy,Cloze,Easy,46,muscle_anatomy;easy
41,""" [Ulnar nerve] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Ulnar nerve - "" Trunks: Lower Divisions: Anterior Cords: Medial """,Muscle Anatomy,Cloze,Easy,46,muscle_anatomy;easy
42,""" [C8 , T1 ::2] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","C8 , T1 ::2 - "" Trunks: Lower Divisions: Anterior Cords: Medial """,Muscle Anatomy,Cloze,Easy,46,muscle_anatomy;easy
43,""" [First dorsal & abd dig minimi, dorsal interosseus] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","First dorsal & abd dig minimi, dorsal interosseus - ""force fingers into adduction Trunks: Lower Divisions: Anterior Cords: Medial """,Muscle Anatomy,Cloze,Easy,47,muscle_anatomy;easy
44,""" [Ulnar nerve] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Ulnar nerve - ""force fingers into adduction Trunks: Lower Divisions: Anterior Cords: Medial """,Muscle Anatomy,Cloze,Easy,47,muscle_anatomy;easy
45,""" [C8 , T1 ::2] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","C8 , T1 ::2 - ""force fingers into adduction Trunks: Lower Divisions: Anterior Cords: Medial """,Muscle Anatomy,Cloze,Easy,47,muscle_anatomy;easy
46,"and L3}} no major """,""" Division: posterior """,General EMG,Standard,Easy,82,general_emg;easy
47,""" [Gluteus medius/min & tensor fascia ::3] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Gluteus medius/min & tensor fascia ::3 - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,83,muscle_anatomy;easy
48,""" [Superior gluteal] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Superior gluteal - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,83,muscle_anatomy;easy
49,""" [L4 , L5 , S1::3] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","L4 , L5 , S1::3 - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,83,muscle_anatomy;easy
50,""" [Gluteus maximus] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Gluteus maximus - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,84,muscle_anatomy;easy
51,""" [Inferior gluteal] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Inferior gluteal - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,84,muscle_anatomy;easy
52,""" [L5 , S1 , S2] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","L5 , S1 , S2 - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,84,muscle_anatomy;easy
53,""" Quadriceps Nerve: [Femoral] Roots: [BLANK] "" - What goes in the blank?","Femoral - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,85,muscle_anatomy;easy
54,""" Quadriceps Nerve: [L2, L3 , L4::3] Roots: [BLANK] "" - What goes in the blank?","L2, L3 , L4::3 - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,85,muscle_anatomy;easy
55,""" [Tibialis anterior::m.] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Tibialis anterior::m. - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,86,muscle_anatomy;easy
56,""" [Deep peroneal] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Deep peroneal - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,86,muscle_anatomy;easy
57,""" [L4 , L5::2] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","L4 , L5::2 - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,86,muscle_anatomy;easy
58,""" Extensor hallucis longus Nerve: [Deep peroneal] Roots: [BLANK] "" - What goes in the blank?","Deep peroneal - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,87,muscle_anatomy;easy
59,""" Extensor hallucis longus Nerve: [L5 , S1::2] Roots: [BLANK] "" - What goes in the blank?","L5 , S1::2 - "" Division: Posterior """,Muscle Anatomy,Cloze,Easy,87,muscle_anatomy;easy
60,""" Flexor hallucis longus Nerve: [Tibial] Roots: [BLANK] "" - What goes in the blank?","Tibial - "" Division: Anterior (no conflict, diagram is wrong) """,Muscle Anatomy,Cloze,Easy,88,muscle_anatomy;easy
61,""" Flexor hallucis longus Nerve: [L5 , S1 , S2::3] Roots: [BLANK] "" - What goes in the blank?","L5 , S1 , S2::3 - "" Division: Anterior (no conflict, diagram is wrong) """,Muscle Anatomy,Cloze,Easy,88,muscle_anatomy;easy
62,""" [Tibialis posterior] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Tibialis posterior - ""Patient plantar flexes and inverts foot. Division: Anterior (conflict easy emg sates L4,5,S1 """,Muscle Anatomy,Cloze,Easy,89,muscle_anatomy;easy
63,""" [Tibial] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Tibial - ""Patient plantar flexes and inverts foot. Division: Anterior (conflict easy emg sates L4,5,S1 """,Muscle Anatomy,Cloze,Easy,89,muscle_anatomy;easy
64,""" [L5 , S1::2] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","L5 , S1::2 - ""Patient plantar flexes and inverts foot. Division: Anterior (conflict easy emg sates L4,5,S1 """,Muscle Anatomy,Cloze,Easy,89,muscle_anatomy;easy
65,""" [Peroneus longus & brevis ::2] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Peroneus longus & brevis ::2 - "" Patient plantar flexes and everts foot. Division: Posterior """,Muscle Anatomy,Cloze,Easy,90,muscle_anatomy;easy
66,""" [Superficial peroneal] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Superficial peroneal - "" Patient plantar flexes and everts foot. Division: Posterior """,Muscle Anatomy,Cloze,Easy,90,muscle_anatomy;easy
67,""" [L5 , S1::2] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","L5 , S1::2 - "" Patient plantar flexes and everts foot. Division: Posterior """,Muscle Anatomy,Cloze,Easy,90,muscle_anatomy;easy
68,""" Gastrocnemius & soleus : Nerve: [Tibial] Roots: [BLANK] "" - What goes in the blank?","Tibial - "" Division: Anterior """,Muscle Anatomy,Cloze,Easy,91,muscle_anatomy;easy
69,""" Gastrocnemius & soleus : Nerve: [S1 , S2 ::2] Roots: [BLANK] "" - What goes in the blank?","S1 , S2 ::2 - "" Division: Anterior """,Muscle Anatomy,Cloze,Easy,91,muscle_anatomy;easy
70,"""[de myelination] is an injury to sheath of the nerve (but the axon remains intact.) translates to slower signal conduction (onset/peak latency +/- duration) along the axon. "" - What goes in the blank?","de myelination - ""may present as decrease in amplitude if a conduction block is present """,EMG Principles,Cloze,Easy,112,emg_principles;easy
71,""" Failure of an AP to propagate past an area of demyelination (along healthy axons) is known as [conduction block .] It can present as a [BLANK] drop in [BLANK] with stim. [BLANK] "" - What goes in the blank?","conduction block . - ""ex. a type of severe focal demyelination (ulnar tunnel, saturday night palsy)",EMG Principles,Cloze,Easy,113,emg_principles;easy
72,""" Failure of an AP to propagate past an area of demyelination (along healthy axons) is known as [>20% - >50%::%range2#'s] It can present as a [BLANK] drop in [BLANK] with stim. [BLANK] "" - What goes in the blank?",">20% - >50%::%range2#'s - ""ex. a type of severe focal demyelination (ulnar tunnel, saturday night palsy)",EMG Principles,Cloze,Easy,113,emg_principles;easy
73,""" Failure of an AP to propagate past an area of demyelination (along healthy axons) is known as [CMAP amplitude] It can present as a [BLANK] drop in [BLANK] with stim. [BLANK] "" - What goes in the blank?","CMAP amplitude - ""ex. a type of severe focal demyelination (ulnar tunnel, saturday night palsy)",EMG Principles,Cloze,Easy,113,emg_principles;easy
74,""" Failure of an AP to propagate past an area of demyelination (along healthy axons) is known as [across the area of injury or L/R comparison::location 2] It can present as a [BLANK] drop in [BLANK] with stim. [BLANK] "" - What goes in the blank?","across the area of injury or L/R comparison::location 2 - ""ex. a type of severe focal demyelination (ulnar tunnel, saturday night palsy)",EMG Principles,Cloze,Easy,113,emg_principles;easy
75,""" [Collateral sprouting] is repair in which a neurite sends off axons of an intact motor unit and innervates muscle fibers of an injured motor unit results in MUAP changes (evidnece of chronic injury): [BLANK] [BLANK] [BLANK] "" - What goes in the blank?","Collateral sprouting - "" - sprouts connect with smaller terminal branches, thinner myelin, and weaker NMJs - increasing size of MU territory - motor units fire with poor synchronicity """,Muscle Anatomy,Cloze,Easy,119,muscle_anatomy;easy
76,""" [polyphasic waveforms] is repair in which a neurite sends off axons of an intact motor unit and innervates muscle fibers of an injured motor unit results in MUAP changes (evidnece of chronic injury): [BLANK] [BLANK] [BLANK] "" - What goes in the blank?","polyphasic waveforms - "" - sprouts connect with smaller terminal branches, thinner myelin, and weaker NMJs - increasing size of MU territory - motor units fire with poor synchronicity """,Muscle Anatomy,Cloze,Easy,119,muscle_anatomy;easy
77,""" [increased duration] is repair in which a neurite sends off axons of an intact motor unit and innervates muscle fibers of an injured motor unit results in MUAP changes (evidnece of chronic injury): [BLANK] [BLANK] [BLANK] "" - What goes in the blank?","increased duration - "" - sprouts connect with smaller terminal branches, thinner myelin, and weaker NMJs - increasing size of MU territory - motor units fire with poor synchronicity """,Muscle Anatomy,Cloze,Easy,119,muscle_anatomy;easy
78,""" [increased amplitude] is repair in which a neurite sends off axons of an intact motor unit and innervates muscle fibers of an injured motor unit results in MUAP changes (evidnece of chronic injury): [BLANK] [BLANK] [BLANK] "" - What goes in the blank?","increased amplitude - "" - sprouts connect with smaller terminal branches, thinner myelin, and weaker NMJs - increasing size of MU territory - motor units fire with poor synchronicity """,Muscle Anatomy,Cloze,Easy,119,muscle_anatomy;easy
79,"""[Axonal regrowth] is a process of repair in which the nerve regrows down its original path It will travel approximately [BLANK]/d or [BLANK] mo if the supporting connective tissue remains intact. "" - What goes in the blank?","Axonal regrowth - "" With reinnervation, low-amplitude, long-duration, and polyphasic potentials known as nascent potentials are formed. """,Muscle Anatomy,Cloze,Easy,120,muscle_anatomy;easy
80,"""[1 mm] is a process of repair in which the nerve regrows down its original path It will travel approximately [BLANK]/d or [BLANK] mo if the supporting connective tissue remains intact. "" - What goes in the blank?","1 mm - "" With reinnervation, low-amplitude, long-duration, and polyphasic potentials known as nascent potentials are formed. """,Muscle Anatomy,Cloze,Easy,120,muscle_anatomy;easy
81,"""[1 in./] is a process of repair in which the nerve regrows down its original path It will travel approximately [BLANK]/d or [BLANK] mo if the supporting connective tissue remains intact. "" - What goes in the blank?","1 in./ - "" With reinnervation, low-amplitude, long-duration, and polyphasic potentials known as nascent potentials are formed. """,Muscle Anatomy,Cloze,Easy,120,muscle_anatomy;easy
82,""" process of averaging improves the [Signal to Noise Ratio (S:N)] by a factor that is the square root of the number of averages performed. "" - What goes in the blank?","Signal to Noise Ratio (S:N) - "" This averaging process extracts the desired neurophysiologic signal from larger noise and interference signals S:N= { Signal amplitude × √# of averages performed} / Noise amplitude Interference = unwanted signals occurring from outside the system being studied Noise = unwanted signals occurring fr",General EMG,Cloze,Easy,124,general_emg;easy
83,"""[conduction velocity] is the speed an impulse travels along a nerve primarily dependent on the integrity of the [BLANK] Normal values are generally >[BLANK] m/sec in the upper limbs and >[BLANK] m/sec in the lower limbs "" - What goes in the blank?","conduction velocity - "" It can be decreased with nerve injury and from technical factors. It should remain normal even in severe axonal injuries, as NCSs record the velocity of fastest surviving nerve fibers """,EMG Principles,Cloze,Easy,128,emg_principles;easy
84,"""[myelin] is the speed an impulse travels along a nerve primarily dependent on the integrity of the [BLANK] Normal values are generally >[BLANK] m/sec in the upper limbs and >[BLANK] m/sec in the lower limbs "" - What goes in the blank?","myelin - "" It can be decreased with nerve injury and from technical factors. It should remain normal even in severe axonal injuries, as NCSs record the velocity of fastest surviving nerve fibers """,EMG Principles,Cloze,Easy,128,emg_principles;easy
85,"""[50] is the speed an impulse travels along a nerve primarily dependent on the integrity of the [BLANK] Normal values are generally >[BLANK] m/sec in the upper limbs and >[BLANK] m/sec in the lower limbs "" - What goes in the blank?","50 - "" It can be decreased with nerve injury and from technical factors. It should remain normal even in severe axonal injuries, as NCSs record the velocity of fastest surviving nerve fibers """,EMG Principles,Cloze,Easy,128,emg_principles;easy
86,"""[40] is the speed an impulse travels along a nerve primarily dependent on the integrity of the [BLANK] Normal values are generally >[BLANK] m/sec in the upper limbs and >[BLANK] m/sec in the lower limbs "" - What goes in the blank?","40 - "" It can be decreased with nerve injury and from technical factors. It should remain normal even in severe axonal injuries, as NCSs record the velocity of fastest surviving nerve fibers """,EMG Principles,Cloze,Easy,128,emg_principles;easy
87,"""[Amplitude] reflects the number of activated muscle fibers or sensory nerve fibers CMAP (or SNAP) [BLANK] reductions are due to injury to [BLANK] "" - What goes in the blank?","Amplitude - "" (typical axonal neuropathy), other causes include conduction block, NMJ disorders, and myopathies """,Muscle Anatomy,Cloze,Easy,130,muscle_anatomy;easy
88,"""[amplitude::same] reflects the number of activated muscle fibers or sensory nerve fibers CMAP (or SNAP) [BLANK] reductions are due to injury to [BLANK] "" - What goes in the blank?","amplitude::same - "" (typical axonal neuropathy), other causes include conduction block, NMJ disorders, and myopathies """,Muscle Anatomy,Cloze,Easy,130,muscle_anatomy;easy
89,"""[axons] reflects the number of activated muscle fibers or sensory nerve fibers CMAP (or SNAP) [BLANK] reductions are due to injury to [BLANK] "" - What goes in the blank?","axons - "" (typical axonal neuropathy), other causes include conduction block, NMJ disorders, and myopathies """,Muscle Anatomy,Cloze,Easy,130,muscle_anatomy;easy
90,"""[Temporal dispersion] reflects the range of conduction velocities of the fastest and slowest nerve fibers. "" - What goes in the blank?","Temporal dispersion - "" ex. segmental demeylination 2/2 GBS, CIDP """,EMG Principles,Cloze,Easy,132,emg_principles;easy
